codigo;descrip;marca;tipo;costo;iva;valiva;moneda;costo_us;unidad;gananmin;gananmay;minoris;minorisi;mayoris;mayorisi;fecha
6278;7065 SALDAñA PEGA COLOR;ARTICULOS DIDACTICOS;LIBROS CUENTOS Y PINTAR;15;G;21;$;0;07;2,3;0;34,5;41,75;0;0;42277
000000582;CINTA DOBLE FAZ 19X30 TRANSP.;CINTAS ADHESIVAS;CINTAS DOBLE FAZ;23,29;G;21;$;0;07;2,3422;0;54,55;66;0;0;42598
7896292286047;860-ORGANIZADOR TRIPLE ACRIMET;OFICINA;ORGANIZADORES;178,44;G;21;$;0;07;2,1073;0;376,03;455;0;0;42598
808736185424;TONER HP Q1339A LASER 4300;TONER;TONER HP;3971,268;G;21;U$S;259,56;07;1,55;0;6155,47;7448,12;0;0;42593
7792700997010;ALMOHADILLA PELIKAN N3 89X55 DISCON;ALMOHADILLAS;PELIKAN;38,07;G;21;$;0;07;2,2577;0;85,95;104;0;0;42320
7792700701853;115-063 CRAY PELIKAN COLORELLA X6;LAPICES;CRAYONES;6,86;G;21;$;0;07;2,4096;0;16,53;20;0;0;42409
7792700701846;115-128 CRAY PELIKAN COLORELLA 12;LAPICES;CRAYONES;10,27;G;21;$;0;07;2,4946;0;25,62;31;0;0;42383
4012700949516;COLORELLA TWIN D/COLOR*DISC;MARCADORES;PELIKAN ESCOLAR;47,3;G;21;$;0;07;1,7471;0;82,64;100;0;0;42320
4012700973177;COLORELLA DUO 10 COLOR*DISC;MARCADORES;PELIKAN ESCOLAR;44,27;G;21;$;0;07;1,7549;0;77,69;94;0;0;42413
4012700936271;PELIKAN PIZARRA 418 LIQUIDACION;MARCADORES;PIZARRA;0;G;21;$;0;07;3,2632;0;0;0;0;0;42383
7792700980029;TINTA 3P ROLL-ON AZUL LIQUI;TINTAS;PELIKAN;42,88;G;21;$;0;07;2,1586;0;92,56;112;0;0;42383
5556;TINTA 3P ROLL-ON NEGRO LIQUI;TINTAS;PELIKAN;42,88;G;21;$;0;07;2,1586;0;92,56;112;0;0;42383
7792700996228;*P*004-001 TINTA 4K 28CM SELLO AZUL;TINTAS;PELIKAN;20,74;G;21;$;0;07;2,7493;0;57,02;69;0;0;42593
7792700996235;*P*004-002 TINTA 4K 28CM SELLO NEGR;TINTAS;PELIKAN;20,74;G;21;$;0;07;2,7493;0;57,02;69;0;0;42383
7792700996242;*P*004-006 TINTA 4K 28CM SELLO ROJO;TINTAS;PELIKAN;20,74;G;21;$;0;07;2,7493;0;57,02;69;0;0;42383
7792700996259;*P*004-004 TINTA 4K 28CM SELLO VERD;TINTAS;PELIKAN;20,74;G;21;$;0;07;2,7493;0;57,02;69;0;0;42383
5563;TINTA 4K 250CM SELLO NG IDEM PAGODA;TINTAS;PELIKAN;32,9;G;21;$;0;07;0;0;0;0;0;0;42383
5575;PIZARRA PELIKAN 30CM AZU LIQUI;TINTAS;PELIKAN;21,84;G;21;$;0;07;2,3;0;50,23;60,78;0;0;42324
5576;PIZARRA PELIKAN 30CM NEG LIQUI;TINTAS;PELIKAN;21,84;G;21;$;0;07;2,3;0;50,23;60,78;0;0;42324
5577;PIZARRA PELIKAN 30CM ROJ LIQUI;TINTAS;PELIKAN;21,84;G;21;$;0;07;2,3;0;50,23;60,78;0;0;42324
7792700000970;PIZARRA PELIKAN 30CM VER LIQUI;TINTAS;PELIKAN;21,84;G;21;$;0;07;2,3;0;50,23;60,78;0;0;42340
15075;*P*CALCULAR CIFRA N/R X2;CINTAS DE MAQUINA;PELIKAN;32,745;G;21;$;0;07;2,9693;0;97,23;117,65;0;0;42411
4018474511904;*P*CALCULAR LOGOS 40/42;CINTAS DE MAQUINA;PELIKAN;22,46;G;21;$;0;07;2,9804;0;66,94;81;0;0;42416
4018474514943;*P*ESCRIBIR OLIVETTI N/R;CINTAS DE MAQUINA;PELIKAN;23,86;G;21;$;0;07;2,9786;0;71,07;86;0;0;42416
15080;MATRIZ P/EPSON MX80/LX300/LQ800;CINTAS DE MAQUINA;PELIKAN;31,03;G;21;$;0;07;0;1;0;0;31,03;37,55;42201
15081;*P*MATRIZ DE PUNTO EP.MX100/LQ1000*DISC;CINTAS DE MAQUINA;PELIKAN;31,02;G;21;$;0;07;3,0106;0;93,39;113;0;0;42416
704315006053;MATRIZ DE PUNTO EPSON LQ2170HD;CINTAS DE MAQUINA;MATRIZ DE PUNTOS;195,87;G;21;$;0;07;2,5;0;489,68;592,51;0;0;42416
4018474515544;MATRIZ DE PUNT OKIDATA ML182/320;CINTAS DE MAQUINA;PELIKAN;0;G;21;$;0;07;3,0069;0;0;0;0;0;42507
704315007616;N636PE FULLMARK REGI. EPSON ERC 30/34/38;CINTAS DE MAQUINA;REGISTRADORAS;20,93;G;21;$;0;07;2,9613;0;61,98;75;0;0;42507
4018474520777;REGISTRADORA EPSON ERC 37;CINTAS DE MAQUINA;REGISTRADORAS;47,28;G;21;$;0;07;2,7967;0;132,23;160;0;0;42416
8017459911100;9111-COMPAS PLANTEC C/BIGOTERA;COMPASES;TECNICO;162,4;G;21;$;0;07;2,4987;0;405,79;491;0;0;42377
8015296214453;*P*2630-ESCUADRA DOZENT 20CM 45º;ARTICULOS TECNICOS;ESCUADRAS DOZENT;6,96;G;21;$;0;07;2,7313;0;19,01;23;0;0;42377
8015296214606;*P*2631-ESCUADRA DOZENT 20CM 60º;ARTICULOS TECNICOS;ESCUADRAS DOZENT;6,96;G;21;$;0;07;2,7313;0;19,01;23;0;0;42377
8015296218604;2639-ESCUA.DOZENT MULTIUSO H/25CM;ARTICULOS TECNICOS;ESCUADRAS DOZENT;13,76;G;21;$;0;07;2,673;0;36,78;44,5;0;0;42377
1170;*P*LETROGRAFO PLANTEC 2.5MM;ARTICULOS TECNICOS;LETROGRAFOS;15,84;G;21;$;0;07;2,4003;0;38,02;46;0;0;42513
1171;*P*LETROGRAFO PLANTEC 3MM;ARTICULOS TECNICOS;LETROGRAFOS;15,84;G;21;$;0;07;2,4003;0;38,02;46;0;0;42513
1172;*P*LETROGRAFO PLANTEC 4MM;ARTICULOS TECNICOS;LETROGRAFOS;17,44;G;21;$;0;07;2,4169;0;42,15;51;0;0;42513
1173;*P*LETROGRAFO PLANTEC 5MM;ARTICULOS TECNICOS;LETROGRAFOS;17,44;G;21;$;0;07;2,4169;0;42,15;51;0;0;42513
